Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Freddie Freeman (22903913),Freddie Freeman,22903913,1B,5600,PIT@LAD 06/01/2022 08:10PM ET,LAD,9.14
1B,Anthony Rizzo (22903928),Anthony Rizzo,22903928,1B,5000,LAA@NYY 06/01/2022 07:05PM ET,NYY,8.33
1B,Vladimir Guerrero Jr. (22903956),Vladimir Guerrero Jr.,22903956,1B,4600,CWS@TOR 06/01/2022 07:07PM ET,TOR,7.17
1B,Ji-Man Choi (22903972),Ji-Man Choi,22903972,1B,4400,TB@TEX 06/01/2022 08:05PM ET,TB,7.03
1B,Jared Walsh (22903971),Jared Walsh,22903971,1B,4300,LAA@NYY 06/01/2022 07:05PM ET,LAA,7.45
1B,Ty France (22903976),Ty France,22903976,1B,4200,SEA@BAL 06/01/2022 07:05PM ET,SEA,8.94
1B,Jose Abreu (22903973),Jose Abreu,22903973,1B,4000,CWS@TOR 06/01/2022 07:07PM ET,CWS,6.98
1B,Daniel Vogelbach (22903989),Daniel Vogelbach,22903989,1B,3900,PIT@LAD 06/01/2022 08:10PM ET,PIT,6.62
1B,Rowdy Tellez (22903993),Rowdy Tellez,22903993,1B,3800,MIL@CHC 06/01/2022 08:05PM ET,MIL,7.52
1B,Joey Votto (22904010),Joey Votto,22904010,1B,3700,CIN@BOS 06/01/2022 07:10PM ET,CIN,5.31
1B,Frank Schwindel (22904027),Frank Schwindel,22904027,1B,3500,MIL@CHC 06/01/2022 08:05PM ET,CHC,5.87
1B,Keston Hiura (22904042),Keston Hiura,22904042,1B,3400,MIL@CHC 06/01/2022 08:05PM ET,MIL,6.58
1B,Bobby Dalbec (22904041),Bobby Dalbec,22904041,1B,3400,CIN@BOS 06/01/2022 07:10PM ET,BOS,4.07
1B,Colin Moran (22904064),Colin Moran,22904064,1B,3100,CIN@BOS 06/01/2022 07:10PM ET,CIN,5.09
1B,Ryan Mountcastle (22904084),Ryan Mountcastle,22904084,1B,3000,SEA@BAL 06/01/2022 07:05PM ET,BAL,7.13
1B,Nathaniel Lowe (22904091),Nathaniel Lowe,22904091,1B,2900,TB@TEX 06/01/2022 08:05PM ET,TEX,5.91
1B,Miguel Cabrera (22904115),Miguel Cabrera,22904115,1B,2600,MIN@DET 06/01/2022 07:10PM ET,DET,6
1B,Spencer Torkelson (22904128),Spencer Torkelson,22904128,1B,2500,MIN@DET 06/01/2022 07:10PM ET,DET,4.86
1B,Yoshi Tsutsugo (22904134),Yoshi Tsutsugo,22904134,1B,2500,PIT@LAD 06/01/2022 08:10PM ET,PIT,4.63
1B,Alfonso Rivas (22904177),Alfonso Rivas,22904177,1B,2200,MIL@CHC 06/01/2022 08:05PM ET,CHC,4.44
1B,Mike Ford (22904193),Mike Ford,22904193,1B,2100,SEA@BAL 06/01/2022 07:05PM ET,SEA,3.43
1B,Bryce Ball (22904327),Bryce Ball,22904327,1B,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
1B,Jon Singleton (22904354),Jon Singleton,22904354,1B,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
1B,Tyler White (22904493),Tyler White,22904493,1B,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
1B,Evan White (22904227),Evan White,22904227,1B,2000,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
1B,Greg Bird (22904445),Greg Bird,22904445,1B,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
1B,Travis Shaw (22904223),Travis Shaw,22904223,1B,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
1B,Roberto Ramos (22904365),Roberto Ramos,22904365,1B,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
1B,Triston Casas (22904535),Triston Casas,22904535,1B,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
1B,Brendan McKay (22904252),Brendan McKay,22904252,1B,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
1B,Jonathan Aranda (22904432),Jonathan Aranda,22904432,1B,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
1B,Ronald Guzman (22904550),Ronald Guzman,22904550,1B,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
1B,Matt Thaiss (22904551),Matt Thaiss,22904551,1B,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
1B,Miguel Sano (22904236),Miguel Sano,22904236,1B,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,3.24
1B,Aaron Sabato (22904484),Aaron Sabato,22904484,1B,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
1B,Curtis Terry (22904568),Curtis Terry,22904568,1B,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
1B/2B,Luis Arraez (22903932),Luis Arraez,22903932,1B/2B,4900,MIN@DET 06/01/2022 07:10PM ET,MIN,7.02
1B/2B,Michael Chavis (22904021),Michael Chavis,22904021,1B/2B,3500,PIT@LAD 06/01/2022 08:10PM ET,PIT,5.82
1B/2B,Matt Duffy (22904142),Matt Duffy,22904142,1B/2B,2500,LAA@NYY 06/01/2022 07:05PM ET,LAA,3.71
1B/2B,Josh VanMeter (22904146),Josh VanMeter,22904146,1B/2B,2400,PIT@LAD 06/01/2022 08:10PM ET,PIT,4.62
1B/3B,Yandy Diaz (22903959),Yandy Diaz,22903959,1B/3B,4500,TB@TEX 06/01/2022 08:05PM ET,TB,5.95
1B/3B,Harold Castro (22904067),Harold Castro,22904067,1B/3B,3100,MIN@DET 06/01/2022 07:10PM ET,DET,5.86
1B/3B,Tyler Nevin (22904079),Tyler Nevin,22904079,1B/3B,3000,SEA@BAL 06/01/2022 07:05PM ET,BAL,5.21
1B/3B,Matt Carpenter (22904113),Matt Carpenter,22904113,1B/3B,2700,LAA@NYY 06/01/2022 07:05PM ET,NYY,8
1B/3B,Andy Ibanez (22904138),Andy Ibanez,22904138,1B/3B,2500,TB@TEX 06/01/2022 08:05PM ET,TEX,4.43
1B/3B,Jose Miranda (22904126),Jose Miranda,22904126,1B/3B,2500,MIN@DET 06/01/2022 07:10PM ET,MIN,4.65
1B/3B,Joshua Fuentes (22904552),Joshua Fuentes,22904552,1B/3B,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
1B/3B,Dustin Harris (22904539),Dustin Harris,22904539,1B/3B,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
1B/C,Jacob Nottingham (22904547),Jacob Nottingham,22904547,C/1B,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
1B/OF,Shohei Ohtani (22903909),Shohei Ohtani,22903909,1B/OF,5700,LAA@NYY 06/01/2022 07:05PM ET,LAA,3.58
1B/OF,Trey Mancini (22903974),Trey Mancini,22903974,1B/OF,4100,SEA@BAL 06/01/2022 07:05PM ET,BAL,6.78
1B/OF,Franchy Cordero (22904065),Franchy Cordero,22904065,1B/OF,3100,CIN@BOS 06/01/2022 07:10PM ET,BOS,6.04
1B/OF,Gavin Sheets (22904082),Gavin Sheets,22904082,1B/OF,3000,CWS@TOR 06/01/2022 07:07PM ET,CWS,4.65
1B/OF,Cavan Biggio (22904183),Cavan Biggio,22904183,1B/OF,2200,CWS@TOR 06/01/2022 07:07PM ET,TOR,2.61
1B/OF,Alex Kirilloff (22904232),Alex Kirilloff,22904232,1B/OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,2.22
1B/OF,Mason Martin (22904352),Mason Martin,22904352,1B/OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
2B,Trevor Story (22903914),Trevor Story,22903914,2B,5500,CIN@BOS 06/01/2022 07:10PM ET,BOS,8.96
2B,Brandon Lowe (22903939),Brandon Lowe,22903939,2B,4800,TB@TEX 06/01/2022 08:05PM ET,TB,7.13
2B,Jorge Polanco (22903951),Jorge Polanco,22903951,2B,4700,MIN@DET 06/01/2022 07:10PM ET,MIN,7
2B,Gleyber Torres (22903957),Gleyber Torres,22903957,2B,4500,LAA@NYY 06/01/2022 07:05PM ET,NYY,6.56
2B,Marcus Semien (22903980),Marcus Semien,22903980,2B,4100,TB@TEX 06/01/2022 08:05PM ET,TEX,6.02
2B,Jonathan India (22903994),Jonathan India,22903994,2B,4000,CIN@BOS 06/01/2022 07:10PM ET,CIN,5.54
2B,Kolten Wong (22904005),Kolten Wong,22904005,2B,3900,MIL@CHC 06/01/2022 08:05PM ET,MIL,6.78
2B,Jonathan Villar (22904012),Jonathan Villar,22904012,2B,3700,MIL@CHC 06/01/2022 08:05PM ET,CHC,5.94
2B,Santiago Espinal (22904023),Santiago Espinal,22904023,2B,3500,CWS@TOR 06/01/2022 07:07PM ET,TOR,5.77
2B,Jonathan Schoop (22904034),Jonathan Schoop,22904034,2B,3400,MIN@DET 06/01/2022 07:10PM ET,DET,5.15
2B,Forrest Wall (22904255),Forrest Wall,22904255,2B,3200,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
2B,Rougned Odor (22904092),Rougned Odor,22904092,2B,2900,SEA@BAL 06/01/2022 07:05PM ET,BAL,5.54
2B,Luis Rengifo (22904087),Luis Rengifo,22904087,2B,2900,LAA@NYY 06/01/2022 07:05PM ET,LAA,6.42
2B,Andy Burns (22904259),Andy Burns,22904259,2B,2700,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
2B,Mark Mathias (22904150),Mark Mathias,22904150,2B,2400,MIL@CHC 06/01/2022 08:05PM ET,MIL,2.5
2B,David Bote (22904162),David Bote,22904162,2B,2300,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
2B,Nick Madrigal (22904173),Nick Madrigal,22904173,2B,2200,MIL@CHC 06/01/2022 08:05PM ET,CHC,3.74
2B,Alejo Lopez (22904198),Alejo Lopez,22904198,2B,2100,CIN@BOS 06/01/2022 07:10PM ET,CIN,2.76
2B,Tyler Black (22904369),Tyler Black,22904369,2B,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
2B,Felix Valerio (22904490),Felix Valerio,22904490,2B,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
2B,Esteban Quiroz (22904494),Esteban Quiroz,22904494,2B,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
2B,Chase Strumpf (22904521),Chase Strumpf,22904521,2B,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
2B,Trent Giambrone (22904567),Trent Giambrone,22904567,2B,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
2B,Connor Norby (22904435),Connor Norby,22904435,2B,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
