,Tweet_id,Tweet,Likes,Retweets,Impression_Count,Profile_Clicks
0,1513652506747932672,@RepThomasMassie You want everyone to easily get a gun but not vote. How ‘merica of you.,1,0,,0
1,1513650909573701635,@MarshaBlackburn We want 4 walls around you.,4,0,,0
2,1513649493094322178,"@RepThomasMassie You realize you can’t just “scrape” the serial number off, right? Show me crime statistics that have reported “filed off serial numbers”",3,0,,0
3,1513647980552851459,@AndStlc And Shannon isn’t a biologist.,0,0,,1
4,1513644980249759752,@EnglishTeach07 But he wants us to just trust him. 🙄 https://t.co/QqTGGc54jB,0,0,,0
5,1513627525993594882,"@chadsp70 @BillEigel @NickBSchroer but is it socialism, marxism, or fascism. They can never decide.",3,0,,0
6,1513599385602506752,@MGoTF @TheHeartlandPOD @BillEigel @NickBSchroer https://t.co/U5x2XL1SJp,2,2,,0
7,1513599179997786120,Here let me fix this for you @NickBSchroer @BillEigel #moleg #defundthepolice https://t.co/68QlDEcHaq,18,8,,1
8,1513577650358571011,"And if the personal property were to be eliminated, that money would have to be made up somewhere.” So where is it being made up @BillEigel @NickBSchroer",9,1,,0
9,1513577569186160646,"“It is a sizable amount of money,” McBride said. “The tax rates on the personal property are the same as the real estate. So the largest share of that does go to the school districts, because they are the largest share of the real estate base also.",6,1,,0
10,1513575199635132416,"If you have a reasonable plan, you'd share it.",15,1,,0
11,1513574824517455872,"I'm sick of our #moleg #mosen
representation like @BillEigel and @nickbschroer sidestepping constituents' questions. If you are going to eliminate personal property tax in St Charles, how will you replace that revenue stream? 100s of people asking, yet you refuse to answer. https://t.co/hnjhTyBfZZ",53,8,,19
12,1513573517341741064,@MGoTF @ShepherdForMO @BillEigel @OfficerBlack You beat me to it.,1,0,,0
13,1513573372776624133,@rick_vandeven @BillEigel @RayReedMO For over a decade. If there is socialism it is on the GOP.,1,0,,0
14,1513573192371249155,@BillEigel @RayReedMO Why won't you share the numbers? Don't your constituents have the right to know?,2,0,,0
15,1513572954575196168,"@AJWILLIKERS @BillEigel Exactly, socialism for St. Charles.",3,0,,2
16,1513572747770793989,@RyanKeithSTL @BillEigel He won't. He can't. He doesn't know.,4,0,,0
17,1513572588265562112,"@BillEigel @OfficerBlack @ShepherdForMO So you won't answer where the other funding is going to come from? Or you just don't know? Again, I'll wait.",1,0,,0
18,1513552154136612872,@WonkBalrog @RepMTG Always. She’s here ALWAYS…every damn minute of the day.,1,0,,0
19,1513542951586177032,@wprl @PeterforMO About 5 years ago.,2,0,,0
20,1513542753170378760,@BillEigel @OfficerBlack @ShepherdForMO How is the revenue generated by PPT being replaced in St. Charles? I’m not running for anything. I’m your constituent.,5,0,,1
21,1513527459622404097,@saularm653 @laurenboebert @elonmusk It’s exhausting.,0,0,,1
22,1513525695342948361,"@OfficerBlack @ShepherdForMO @BillEigel We should just ""trust"" him. https://t.co/tvnoJ4pRxB",4,1,,2
23,1513525455479058432,@AJWILLIKERS @STLOmegaMan @BillEigel Just trust him he says. Jesus. https://t.co/Wqj4X7gfdK,2,0,,0
24,1513514838907142147,@BillEigel You want us to take your word for it? https://t.co/PFgbuxMAru,3,0,,0
25,1513282382941626368,@BillEigel Again I’ll ask for your economy feasibility study on this.,2,0,,0
26,1513281772397735939,@DeAngelisCorey 🤡,1,0,,5
27,1513280662933065728,"@BillEigel @D_historyMan @GOP Again I’ll ask…where is the economic feasibility study for this. Surely you’ve done one, right?",4,0,,0
28,1513234868653760516,@BillEigel Are you ever going to show your economic model that shows this is feasible? This is like the 100th time I've asked but you keep skipping out on an answer. #moleg @dingersandks,23,1,,4
29,1512973630203998220,@C_prabhav @elonmusk Because the GQP is batshit crazy,0,0,,0
30,1512958654781210632,@GovParsonMO @FirstLadyTeresa No one cares you narcissistic asswipe.,6,0,,0
31,1512957844949241866,"@elonmusk Why, so you can be labeled a sucker for paying to get nothing?",8,0,,1
