Name,Screen_Name,Total_Score,Retweet_Avg,Reply_Avg,Like_Avg,Quote_Avg
Bruce DeGroot,BDGStateRep,1.78,0.39,0.61,0.78,0.0
David Tyson Smith,dts4mo,10.82,3.52,1.03,2.69,3.58
SEAN SCOBEE POUCHE,PoucheSean,1.48,0.22,0.08,0.36,0.82
State Senator Greg Razer,SenGregRazer,17.86,7.48,1.16,3.01,6.21
Senator Karla Eslinger,SenatorEslinger,4.9,1.33,0.52,1.07,1.98
Cyndi Buchheit-Courtway,CourtwayCyndi,0.2,0.0,0.0,0.2,0.0
"Marlon S. Anderson, Esq.",MarlonSAnderso8,2.19,0.18,0.28,0.19,1.54
Chris Sander,RepSanderforMO,1.7,0.0,1.67,0.03,0.0
Michael Johnson 4 KCMO State Representative,MJKCMO23,3.83,1.68,0.29,0.78,1.08
Sen. Karla May,KarlaMayMO4,7.23,2.18,1.0,1.4,2.65
Jason Bean for Senate,BeanSenate,3.29,1.52,0.16,0.57,1.04
Richard West,gowestformo,1.0,0.14,0.0,0.15,0.71
Bridget Walsh Moore,Bridget_for_MO,20.74,7.36,2.02,3.66,7.7
Tracy Grundy for Missouri,tracygrundy4mo,8.94,3.36,0.87,2.16,2.55
Barbara Phifer,PhiferForMo90,4.05,1.34,0.4,0.82,1.49
Betsy Fogle,Fogle4MO,21.55,6.85,1.87,6.39,6.44
Robert Sauls,RobertESauls,9.48,3.36,0.94,1.92,3.26
Kurtis Gregory,KurtisGregory51,3.92,0.56,0.65,1.28,1.43
Patty4MO,Patty4MO,16.07,7.03,1.38,2.91,4.75
Alex Riley,AlexRileyMO,3.93,0.44,0.4,1.55,1.54
Derrick Nowlin,DerrickNowlinMO,6.07,1.74,0.71,0.72,2.9
Keri Ingle,RepKeriIngle,24.41,9.84,2.41,5.05,7.11
Dottie.Bailey.,DottieB01127274,0.36,0.3,0.0,0.06,0.0
Trish Gunby,TrishForMO,25.86,12.6,1.58,4.91,6.77
Greg Sharpe,GregSharpe13,0.12,0.0,0.05,0.07,0.0
Rudy Veit,VeitRudy,1.36,0.35,0.18,0.24,0.59
Don Mayhew,DonMayhewMO,1.48,0.14,0.21,0.25,0.88
LaDonna Appelbaum,AppelbaumMO71,2.17,0.79,0.38,0.44,0.56
Senator Tony Luetkemeyer,LuetkemeyerTony,2.84,0.77,0.47,0.32,1.28
Wes Rogers,rogersforKC,18.85,3.75,2.39,4.16,8.55
Governor Mike Parson,GovParsonMO,14.02,3.93,3.44,1.72,4.93
Manlove 4 Missouri,Manlove4M,10.89,4.28,0.82,2.19,3.6
Mike Haffner,MikeHaffnerMO,2.63,0.66,0.44,0.53,1.0
Rep. LaKeySha Bosley,TeamBosleyMO79,4.91,2.09,0.45,1.23,1.14
Committee to Elect Paula Brown,PaulaBrown2018,4.74,1.32,0.28,0.39,2.75
Ann Kelley,AnnKelleyMO,0.33,0.06,0.23,0.04,0.0
Craig Fishel,Fishel136,5.0,0.0,5.0,0.0,0.0
Bill Falkner,Repdistrict10,0.07,0.0,0.0,0.07,0.0
Maggie Nurrenbern,MaggieforMO,4.52,1.73,0.35,0.8,1.64
Kevin Windham,KWindham85,9.98,3.62,0.91,1.43,4.02
Dave Griffith,davegriffithmo,1.3,0.0,1.0,0.3,0.0
Rodger L Reedy,reedyhouserep,0.3,0.0,0.0,0.3,0.0
Dan Stacy,RepDanStacy,1.59,0.19,0.44,0.08,0.88
Rusty Black,rep_rusty,0.47,0.02,0.13,0.21,0.11
Tony Luetkemeyer,TonyForMissouri,6.54,1.25,1.35,1.19,2.75
David Gregory,DavidGregoryMO,4.44,1.29,0.98,0.61,1.56
Riggs For Missouri,riggs4missouri,0.95,0.53,0.12,0.3,0.0
Michael O'Donnell,MichaelOD_MO,0.89,0.2,0.16,0.23,0.3
Mike Henderson,MikeHenderso12,0.53,0.06,0.1,0.15,0.22
Doug Richey,DougRicheyMO,5.76,0.55,1.45,0.6,3.16
Brad Hudson,brad_hudson_,2.6,0.45,0.61,0.8,0.74
Cody Smith,cody4mo,8.73,2.04,1.25,1.08,4.36
Shane Roden,RepRoden111,1.49,0.15,0.29,0.08,0.97
Steven Roberts,RobertsforSTL,30.65,2.69,3.85,1.15,22.96
Cori Bush,CoriBush,3025.47,1229.86,314.16,736.83,744.62
Nick Schroer,NickBSchroer,26.24,2.0,11.08,1.06,12.1
Hannah Kelly,HannahKellyMO,10.06,1.0,2.87,1.25,4.94
Rep. Peter Merideth,PeterforMO,32.74,10.43,3.42,4.71,14.18
Rory Rowland,RowlandforMO,2.4,1.0,1.0,0.4,0.0
William Eigel,BillEigel,39.24,6.95,9.8,2.71,19.78
Crystal Quade,crystal_quade,77.69,25.06,5.38,9.59,37.66
Andrew McDaniel,drurep150,1.45,0.2,0.42,0.18,0.65
Curtis Trent,curtisdtrent,17.47,2.29,2.54,1.21,11.43
Emily Weber,Emily4Mo,8.55,2.68,0.77,2.48,2.62
Kirk Mathews,KirkMathews110,18.99,5.39,1.94,1.24,10.42
bill owen,billowen14,5.36,0.14,2.52,0.49,2.21
Dan Houx,DanHoux,3.08,1.03,0.15,1.0,0.9
Rep. Mike Lair,RepMikeLair,0.23,0.18,0.03,0.02,0.0
Don Rone,rone_don,3.33,0.09,1.57,0.11,1.56
Randy Pietzman,RandyPietzman,1.45,0.18,0.85,0.12,0.3
Lauren Arthur,LaurenArthurMO,95.41,38.07,4.58,17.48,35.28
Jason Chipman,JChipmanMO120th,0.21,0.03,0.13,0.05,0.0
Josh Hawley,HawleyMO,3838.5,1109.92,1039.87,387.79,1300.92
Tommie Pierson,TommiePierson,0.66,0.39,0.13,0.14,0.0
Rep. Tony Lovasco (MO-64),tonylovasco,9.21,2.33,1.58,1.25,4.05
John D. Wiemann,JohnDWiemann,8.05,0.74,2.16,0.63,4.52
Sandy Crawford,SandyCrawford2,3.62,0.92,0.23,0.93,1.54
Shamed Dogan,Dogan4Rep,4.53,1.19,0.81,1.28,1.25
Blaine Luetkemeyer,RepBlaine,23.11,6.11,7.61,1.65,7.74
Bishop Davidson,BishopADavidson,8.93,3.06,1.69,1.68,2.5
Joseph Adams,bear_adams,0.79,0.36,0.18,0.25,0.0
Rep. Jason Smith,RepJasonSmith,67.68,10.14,33.88,3.25,20.41
Martha Stevens,Martha4MO,9.56,4.09,1.13,2.17,2.17
Democrat Missourian,DMissourian,1.87,0.53,0.0,0.02,1.32
U.S. Rep. Billy Long,USRepLong,24.45,2.78,14.16,0.75,6.76
